rannum,action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,attendance,arena_temp,avgnoisedb,From: shot_made_flag,Into: shot_made_flag,Predicted Probability: shot_made_flag=0,Predicted Probability: shot_made_flag=1
81,Jump Shot,Jump Shot,55,20000058,33.9343,159,110,-118.1108,5,1,0,01JAN00:00:00:00,15,19,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,71,16025,70,92.22,1,0,0.681407069,0.318592931
82,Jump Shot,Jump Shot,313,20000058,33.9973,58,47,-118.2118,11,4,0,01JAN00:00:00:00,49,7,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,80,16025,70,92.22,1,0,0.74983252,0.25016748
109,Jump Shot,Jump Shot,20,20000068,33.9743,-29,70,-118.2988,9,1,0,01JAN00:00:00:00,48,7,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,85,13750,68,93.33,1,0,0.715418785,0.284581215
110,Turnaround Jump Sh,Jump Shot,33,20000068,33.9953,-124,49,-118.3938,7,1,0,01JAN00:00:00:00,26,13,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,86,13750,68,93.33,1,1,0.45734954,0.54265046
111,Turnaround Jump Sh,Jump Shot,180,20000068,34.0403,132,4,-118.1378,4,2,0,01JAN00:00:00:00,25,13,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,95,13750,68,93.33,1,1,0.431967194,0.568032806
112,Jump Shot,Jump Shot,286,20000068,33.9073,-101,137,-118.3708,4,3,0,01JAN00:00:00:00,16,17,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,104,13750,68,93.33,1,0,0.696054699,0.303945301
113,Jump Shot,Jump Shot,418,20000068,33.8943,-151,150,-118.4208,0,4,0,01JAN00:00:00:00,43,21,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,113,13750,68,93.33,1,0,0.707410194,0.292589806
139,Jump Shot,Jump Shot,217,20000098,33.9913,-155,53,-118.4248,2,2,0,01JAN00:00:00:00,40,16,,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,123,15229,71,95.42,1,0,0.683885107,0.316114893
140,Running Jump Shot,Jump Shot,261,20000098,33.9113,-96,133,-118.3658,9,3,0,01JAN00:00:00:00,59,16,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,126,15229,71,95.42,1,1,0.164868491,0.835131509
141,Reverse Layup Shot,Layup,327,20000098,34.0443,0,0,-118.2698,2,3,0,01JAN00:00:00:00,56,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,133,15229,71,95.42,1,1,0.335836032,0.664163968
142,Jump Shot,Jump Shot,492,20000098,34.0083,45,36,-118.2248,1,4,0,01JAN00:00:00:00,5,5,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,141,15229,71,95.42,1,0,0.755678149,0.244321851
159,Jump Shot,Jump Shot,55,20000108,34.0333,237,11,-118.0328,4,1,0,01JAN00:00:00:00,52,23,,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,144,14773,71,91.64,1,0,0.614402173,0.385597827
160,Driving Layup Shot,Layup,120,20000108,34.0443,0,0,-118.2698,10,2,0,01JAN00:00:00:00,5,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,150,14773,71,91.64,1,1,0.222768049,0.777231952
161,Jump Shot,Jump Shot,179,20000108,33.8753,7,169,-118.2628,4,2,0,01JAN00:00:00:00,14,16,,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,152,14773,71,91.64,1,0,0.634517556,0.365482444
162,Driving Layup Shot,Layup,186,20000108,34.0443,0,0,-118.2698,3,2,0,01JAN00:00:00:00,22,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,153,14773,71,91.64,1,1,0.233786231,0.766213769
163,Tip Shot,Tip Shot,220,20000108,34.0443,0,0,-118.2698,0,2,0,01JAN00:00:00:00,26,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,156,14773,71,91.64,1,0,0.687264627,0.312735373
164,Reverse Dunk Shot,Dunk,318,20000108,34.0443,0,0,-118.2698,3,3,0,01JAN00:00:00:00,53,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,159,14773,71,91.64,1,1,0.072320338,0.927679662
165,Dunk Shot,Dunk,418,20000108,34.0443,0,0,-118.2698,5,4,0,01JAN00:00:00:00,32,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,165,14773,71,91.64,1,1,0.262690629,0.737309371
187,Jump Shot,Jump Shot,77,20000124,33.8503,70,194,-118.1998,1,1,0,01JAN00:00:00:00,36,20,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,172,13184,67,93.81,1,0,0.646917586,0.353082414
188,Alley Oop Dunk Sho,Dunk,328,20000124,34.0443,0,0,-118.2698,11,4,0,01JAN00:00:00:00,44,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,182,13184,67,93.81,1,1,0.057223146,0.942776854
208,Jump Shot,Jump Shot,54,20000140,34.0503,174,-6,-118.0958,6,1,0,01JAN00:00:00:00,24,17,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,192,16017,69,98.64,1,0,0.606394915,0.393605085
209,Driving Layup Shot,Layup,57,20000140,34.0443,0,0,-118.2698,6,1,0,01JAN00:00:00:00,2,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,193,16017,69,98.64,1,1,0.197412835,0.802587165
210,Jump Shot,Jump Shot,100,20000140,34.0403,153,4,-118.1168,0,1,0,01JAN00:00:00:00,18,15,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,196,16017,69,98.64,1,0,0.680714723,0.319285277
211,Jump Shot,Jump Shot,256,20000140,33.9783,-162,66,-118.4318,10,3,0,01JAN00:00:00:00,5,17,,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,202,16017,69,98.64,1,0,0.685950589,0.314049411
212,Jump Shot,Jump Shot,411,20000140,33.8883,-214,156,-118.4838,5,4,0,01JAN00:00:00:00,19,26,,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,210,16017,69,98.64,1,0,0.675928653,0.324071347
213,Jump Shot,Jump Shot,425,20000140,33.9073,-149,137,-118.4188,3,4,0,01JAN00:00:00:00,38,20,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,211,16017,69,98.64,1,0,0.63855917,0.36144083
235,Driving Dunk Shot,Dunk,322,20000147,34.0443,0,0,-118.2698,0,3,0,01JAN00:00:00:00,4,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/19/2000,LAL vs. CHI,CHI,228,15396,70,93.19,1,1,0.03232934,0.96767066
271,Jump Shot,Jump Shot,56,20000180,33.8903,106,154,-118.1638,6,1,0,01JAN00:00:00:00,22,18,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/24/2000,LAL vs. MIN,MIN,257,15954,71,95.3,1,0,0.550430174,0.449569826
272,Jump Shot,Jump Shot,86,20000180,33.8903,106,154,-118.1638,3,1,0,01JAN00:00:00:00,25,18,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/24/2000,LAL vs. MIN,MIN,260,15954,71,95.3,1,0,0.560093628,0.439906372
273,Jump Shot,Jump Shot,256,20000180,33.9073,115,137,-118.1548,9,3,0,01JAN00:00:00:00,18,17,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/24/2000,LAL vs. MIN,MIN,264,15954,71,95.3,1,0,0.575076884,0.424923116
274,Turnaround Jump Sh,Jump Shot,308,20000180,34.0633,-141,-19,-118.4108,3,3,0,01JAN00:00:00:00,12,14,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/24/2000,LAL vs. MIN,MIN,267,15954,71,95.3,1,1,0.427678424,0.572321576
291,Alley Oop Dunk Sho,Dunk,62,20000198,34.0443,0,0,-118.2698,5,1,0,01JAN00:00:00:00,17,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/27/2000,LAL @ LAC,LAC,279,16833,72,97.43,1,1,0.035339901,0.964660099
292,Jump Shot,Jump Shot,207,20000198,33.9033,98,141,-118.1718,2,2,0,01JAN00:00:00:00,38,17,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/27/2000,LAL @ LAC,LAC,282,16833,72,97.43,1,0,0.544550996,0.455449004
293,Jump Shot,Jump Shot,374,20000198,33.9283,51,116,-118.2188,10,4,0,01JAN00:00:00:00,39,12,,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/27/2000,LAL @ LAC,LAC,293,16833,72,97.43,1,0,0.557192047,0.442807953
314,Running Jump Shot,Jump Shot,171,20000206,33.9383,-65,106,-118.3348,8,2,0,01JAN00:00:00:00,11,12,,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/28/2000,LAL vs. IND,IND,299,16489,71,94,1,1,0.231954073,0.768045927
315,Turnaround Jump Sh,Jump Shot,203,20000206,33.9383,-115,106,-118.3848,6,2,0,01JAN00:00:00:00,11,15,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/28/2000,LAL vs. IND,IND,300,16489,71,94,1,1,0.42415498,0.57584502
316,Running Jump Shot,Jump Shot,205,20000206,33.9893,-86,55,-118.3558,5,2,0,01JAN00:00:00:00,47,10,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/28/2000,LAL vs. IND,IND,301,16489,71,94,1,1,0.250289614,0.749710386
317,Jump Shot,Jump Shot,439,20000206,33.8273,-117,217,-118.3868,9,4,0,01JAN00:00:00:00,23,24,,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/28/2000,LAL vs. IND,IND,317,16489,71,94,1,0,0.663355238,0.336644762
332,Jump Shot,Jump Shot,243,20000222,33.8603,167,184,-118.1028,0,2,0,01JAN00:00:00:00,28,24,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/30/2000,LAL @ SEA,SEA,327,14290,71,92.8,1,0,0.643307651,0.356692349
333,Jump Shot,Jump Shot,254,20000222,34.0253,129,19,-118.1408,10,3,0,01JAN00:00:00:00,59,13,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/30/2000,LAL @ SEA,SEA,328,14290,71,92.8,1,0,0.653324771,0.346675229
362,Layup Shot,Layup,36,20000230,34.0443,0,0,-118.2698,8,1,0,01JAN00:00:00:00,14,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/1/2000,LAL vs. SAS,SAS,335,14925,70,93.42,1,0,0.622861509,0.377138491
363,Running Jump Shot,Jump Shot,208,20000230,33.9893,-16,55,-118.2858,3,2,0,01JAN00:00:00:00,14,5,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,12/1/2000,LAL vs. SAS,SAS,346,14925,70,93.42,1,1,0.285133513,0.714866487
364,Jump Shot,Jump Shot,267,20000230,33.9763,26,68,-118.2438,10,3,0,01JAN00:00:00:00,15,7,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,12/1/2000,LAL vs. SAS,SAS,348,14925,70,93.42,1,0,0.737716247,0.262283753
389,Jump Shot,Jump Shot,4,20000246,33.8633,-16,181,-118.2858,11,1,0,01JAN00:00:00:00,18,18,,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/3/2000,LAL vs. DAL,DAL,365,16383,70,100.43,1,0,0.51154855,0.48845145
390,Driving Layup Shot,Layup,428,20000246,34.0443,0,0,-118.2698,4,4,0,01JAN00:00:00:00,16,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/3/2000,LAL vs. DAL,DAL,390,16383,70,100.43,1,1,0.20366313,0.79633687
391,Driving Layup Shot,Layup,466,20000246,34.0443,0,0,-118.2698,1,4,0,01JAN00:00:00:00,14,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/3/2000,LAL vs. DAL,DAL,391,16383,70,100.43,1,1,0.212479582,0.787520418
392,Running Jump Shot,Jump Shot,473,20000246,34.0333,-73,11,-118.3428,0,4,0,01JAN00:00:00:00,41,7,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,12/3/2000,LAL vs. DAL,DAL,392,16383,70,100.43,1,1,0.24103047,0.758969531
419,Jump Shot,Jump Shot,99,20000258,33.7973,117,247,-118.1528,1,1,0,01JAN00:00:00:00,27,27,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/5/2000,LAL vs. PHI,PHI,397,15437,72,91.39,1,0,0.612691047,0.387308953
420,Jump Shot,Jump Shot,439,20000258,33.8633,153,181,-118.1168,4,4,0,01JAN00:00:00:00,16,23,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/5/2000,LAL vs. PHI,PHI,418,15437,72,91.39,1,0,0.623391075,0.376608925
452,Jump Shot,Jump Shot,106,20000267,34.0443,-147,0,-118.4168,0,1,0,01JAN00:00:00:00,0,14,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/6/2000,LAL @ GSW,GSW,428,14931,67,93.95,1,0,0.80793453,0.19206547
453,Turnaround Jump Sh,Jump Shot,201,20000267,33.9783,-60,66,-118.3298,0,2,0,01JAN00:00:00:00,33,8,,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,12/6/2000,LAL @ GSW,GSW,434,14931,67,93.95,1,1,0.4895818,0.5104182
454,Layup Shot,Layup,250,20000267,34.0443,0,0,-118.2698,8,3,0,01JAN00:00:00:00,25,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/6/2000,LAL @ GSW,GSW,439,14931,67,93.95,1,0,0.697511264,0.302488737
455,Jump Shot,Jump Shot,267,20000267,33.8163,96,228,-118.1738,6,3,0,01JAN00:00:00:00,37,24,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/6/2000,LAL @ GSW,GSW,440,14931,67,93.95,1,0,0.71614842,0.28385158
477,Jump Shot,Jump Shot,2,20000280,33.9113,-86,133,-118.3558,11,1,0,01JAN00:00:00:00,43,15,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/8/2000,LAL vs. SEA,SEA,456,15402,66,96.36,1,0,0.708199367,0.291800633
478,Jump Shot,Jump Shot,55,20000280,34.0103,60,34,-118.2098,6,1,0,01JAN00:00:00:00,24,6,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,12/8/2000,LAL vs. SEA,SEA,459,15402,66,96.36,1,0,0.713659557,0.286340443
479,Jump Shot,Jump Shot,283,20000280,33.8733,117,171,-118.1528,7,3,0,01JAN00:00:00:00,35,20,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/8/2000,LAL vs. SEA,SEA,472,15402,66,96.36,1,0,0.627344905,0.372655095
480,Jump Shot,Jump Shot,477,20000280,34.0403,-101,4,-118.3708,1,4,0,01JAN00:00:00:00,43,10,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/8/2000,LAL vs. SEA,SEA,480,15402,66,96.36,1,0,0.777390128,0.222609872
500,Jump Shot,Jump Shot,226,20000297,33.8183,153,226,-118.1168,1,2,0,01JAN00:00:00:00,19,27,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/10/2000,LAL vs. DET,DET,491,14703,71,96.15,1,0,0.660578321,0.339421679
501,Jump Shot,Jump Shot,302,20000297,33.9173,87,127,-118.1828,5,3,0,01JAN00:00:00:00,16,15,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/10/2000,LAL vs. DET,DET,497,14703,71,96.15,1,0,0.71158675,0.28841325
530,Jump Shot,Jump Shot,106,20000309,33.7873,32,257,-118.2378,2,1,0,01JAN00:00:00:00,33,25,,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/12/2000,LAL vs. MIL,MIL,509,14806,68,93.75,1,0,0.705090486,0.294909514
531,Jump Shot,Jump Shot,120,20000309,33.8523,180,192,-118.0898,0,1,0,01JAN00:00:00:00,44,26,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/12/2000,LAL vs. MIL,MIL,511,14806,68,93.75,1,0,0.707458123,0.292541877
532,Jump Shot,Jump Shot,365,20000309,33.9383,-16,106,-118.2858,0,3,0,01JAN00:00:00:00,0,10,,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,12/12/2000,LAL vs. MIL,MIL,523,14806,68,93.75,1,0,0.740337519,0.259662482
554,Jump Shot,Jump Shot,27,20000320,33.9363,161,108,-118.1088,8,1,0,01JAN00:00:00:00,53,19,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/13/2000,LAL @ POR,POR,533,15316,74,95.93,1,0,0.623071117,0.376928883
555,Layup Shot,Layup,228,20000320,34.0443,0,0,-118.2698,1,2,0,01JAN00:00:00:00,11,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/13/2000,LAL @ POR,POR,544,15316,74,95.93,1,0,0.667845118,0.332154882
556,Jump Shot,Jump Shot,275,20000320,34.0403,226,4,-118.0438,8,3,0,01JAN00:00:00:00,36,22,,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,12/13/2000,LAL @ POR,POR,546,15316,74,95.93,1,0,0.648685165,0.351314835
557,Driving Layup Shot,Layup,453,20000320,34.0443,0,0,-118.2698,0,4,0,01JAN00:00:00:00,47,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/13/2000,LAL @ POR,POR,555,15316,74,95.93,1,1,0.259973346,0.740026655
573,Jump Shot,Jump Shot,3,20000334,33.7913,45,253,-118.2248,11,1,0,01JAN00:00:00:00,18,25,,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/15/2000,LAL vs. VAN,VAN,558,16092,68,96.38,1,0,0.640088372,0.359911628
574,Jump Shot,Jump Shot,29,20000334,33.9663,-143,78,-118.4128,7,1,0,01JAN00:00:00:00,17,16,,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/15/2000,LAL vs. VAN,VAN,560,16092,68,96.38,1,0,0.708299732,0.291700268
575,Jump Shot,Jump Shot,282,20000334,34.0103,-149,34,-118.4188,6,3,0,01JAN00:00:00:00,30,15,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/15/2000,LAL vs. VAN,VAN,573,16092,68,96.38,1,0,0.771044953,0.228955047
601,Jump Shot,Jump Shot,371,20000347,33.8563,123,188,-118.1468,2,3,0,01JAN00:00:00:00,26,22,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/17/2000,LAL @ TOR,TOR,591,15173,69,95.34,1,0,0.699558113,0.300441887
